AudioTime[s]	MeasId	WavId	Sensor 1 Id	Sensor 1 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 3 Id	Sensor 3 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 4 Id	Sensor 4 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 5 Id	Sensor 5 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 6 Id	Sensor 6 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 7 Id	Sensor 7 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 8 Id	Sensor 8 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 9 Id	Sensor 9 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 10 Id	Sensor 10 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 11 Id	Sensor 11 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 12 Id	Sensor 12 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz Sensor 13 Id	Sensor 13 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 14 Id	Sensor 14 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 15 Id	Sensor 15 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 16 Id	Sensor 16 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz
0.3586	32	7907	0	55	62.150238	35.692627	-122.493310	0.993372	0.037215	-0.004033	0.108674	2	55	-68.227745	17.060019	-0.975273	0.267751	-0.816770	0.511074	0.000000	3	55	-70.851952	-9.018650	-1.205193	0.639454	-0.096573	-0.762740	0.000000	4	55								5	119								6	55								7	311								8	311								9	311								10	55								11	55								12	311								13	311								14	311								15	311							
0.3686	33	8127	0	55	62.146030	35.691242	-122.500470	0.993374	0.037200	-0.004019	0.108661	2	55	-68.212914	17.082581	-0.962021	0.267955	-0.816792	0.510931	0.000000	3	55	-70.847908	-9.026494	-1.193710	0.639442	-0.096566	-0.762751	0.000000	4	55								5	119								6	55								7	311								8	311								9	311								10	119								11	55								12	311								13	311								14	311								15	311							
0.3786	34	8348	0	55	62.149399	35.695477	-122.504390	0.993375	0.037197	-0.004035	0.108652	2	55	-68.204155	17.087265	-0.946198	0.268061	-0.816793	0.510875	0.000000	3	55	-70.846733	-9.030239	-1.183235	0.639435	-0.096590	-0.762754	0.000000	4	55								5	119								6	55								7	311								8	311								9	311								10	119								11	55								12	311								13	311								14	311								15	311							
0.3886	35	8568	0	55	62.151314	35.695744	-122.507100	0.993378	0.037145	-0.004053	0.108642	2	55	-68.211563	17.065807	-0.955872	0.267929	-0.816717	0.511066	0.000000	3	55	-70.838806	-9.028421	-1.162529	0.639409	-0.096623	-0.762772	0.000000	4	55								5	119								6	55								7	311								8	311								9	311								10	119								11	55								12	311								13	311								14	311								15	311							
0.3986	36	8789	0	55	62.154530	35.694336	-122.519070	0.993380	0.037111	-0.004064	0.108638	2	55	-68.222610	17.065552	-0.943390	0.267878	-0.816891	0.510814	0.000000	3	55	-70.841187	-9.020886	-1.148636	0.639415	-0.096639	-0.762764	0.000000	4	55								5	119								6	55								7	311								8	311								9	311								10	119								11	55								12	311								13	311								14	311								15	311							
0.4086	37	9009	0	55	62.160255	35.691483	-122.518940	0.993384	0.037049	-0.004097	0.108621	2	55	-68.226440	17.071079	-0.933151	0.267942	-0.816985	0.510630	0.000000	3	55	-70.852959	-9.021209	-1.152077	0.639472	-0.096595	-0.762722	0.000000	4	55								5	119								6	55								7	311								8	311								9	311								10	119								11	55								12	311								13	311								14	311								15	311							
0.4185	38	9229	0	55	62.166168	35.694088	-122.523890	0.993390	0.036980	-0.004127	0.108590	2	55	-68.247162	17.075890	-0.918419	0.267987	-0.817280	0.510133	0.000000	3	55	-70.862236	-9.023910	-1.147003	0.639514	-0.096530	-0.762695	0.000000	4	55								5	119								6	55								7	311								8	311								9	311								10	119								11	55								12	311								13	311								14	311								15	311							
0.4286	39	9450	0	55	62.168812	35.694153	-122.526690	0.993395	0.036933	-0.004140	0.108562	2	55	-68.254791	17.079266	-0.900932	0.268044	-0.817526	0.509710	0.000000	3	55	-70.860664	-9.026664	-1.146126	0.639512	-0.096500	-0.762701	0.000000	4	55								5	119								6	55								7	311								8	311								9	311								10	119								11	119								12	311								13	311								14	311								15	311							
0.4385	40	9670	0	55	62.164162	35.698502	-122.527980	0.993391	0.036974	-0.004121	0.108585	2	55	-68.242775	17.082939	-0.903374	0.268078	-0.817404	0.509887	0.000000	3	55	-70.857407	-9.029323	-1.141670	0.639490	-0.096507	-0.762718	0.000000	4	55								5	119								6	55								7	311								8	311								9	311								10	119								11	119								12	311								13	311								14	311								15	311							
0.4485	41	9890	0	55	62.166351	35.700233	-122.528710	0.993394	0.036944	-0.004131	0.108560	2	55	-68.258057	17.067797	-0.903046	0.267972	-0.817461	0.509851	0.000000	3	55	-70.851273	-9.033922	-1.133987	0.639472	-0.096482	-0.762736	0.000000	4	55								5	119								6	55								7	311								8	311								9	311								10	119								11	119								12	311								13	311								14	311								15	311							
